CASE_NUMBER,CASE_STATUS,EMPLOYER_NAME,SOC_NAME,SOC_CODE,JOB_TITLE,FULL_TIME_POSITION,PREVAILING_WAGE,WORKSITE_CITY,WORKSITE_STATE_ABB,YEAR,WORKSITE_STATE_FULL,WORKSITE,CASE_STATUS_CLEAN,APPROVAL_FLAG
I-200-19113-951291,CERTIFIED,"LOGIC PLANET, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",15-1132,ETL DEVELOPER,Y,87693.0,COLUMBUS,OHIO,2019,OHIO,"Columbus, OHIO",Approved,1
I-200-19053-519189,CERTIFIED,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,COMPUTER SYSTEMS ANALYST,15-1121,SYSTEM ANALYST JC65,Y,77542.0,HOPKINS,MINNESOTA,2019,MINNESOTA,"Hopkins, MINNESOTA",Approved,1
I-200-15134-238137,CERTIFIED-WITHDRAWN,POPULUS GROUP,"COMPUTER OCCUPATIONS, ALL OTHER",15-1199,SOFTWARE QUALITY ASSURANCE ENGINEER,Y,59363.2,SYRACUSE,NY,2015,NEW YORK,"SYRACUSE, NEW YORK",Approved,1
I-200-16139-288753,CERTIFIED,"NCS PEARSON, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",15-1132,SENIOR SOFTWARE DEVELOPER,Y,91400.0,BLOOMINGTON,MN,2016,MINNESOTA,"BLOOMINGTON, MINNESOTA",Approved,1
I-200-17038-421146,CERTIFIED,"HCL AMERICA, INC.",COMPUTER PROGRAMMERS,15-1131,PROGRAMMER ANALYST - II,Y,61318.0,OAK BROOK,IL,2017,ILLINOIS,"OAK BROOK, ILLINOIS",Approved,1
I-200-16035-834717,CERTIFIED,IBM CORPORATION,COMPUTER HARDWARE ENGINEERS,17-2061,NETWORK ADMINISTRATOR,Y,80246.0,WAYNE,PA,2016,PENNSYLVANIA,"WAYNE, PENNSYLVANIA",Approved,1
I-200-16078-296578,CERTIFIED,VIRTUSA CORPORATION,"COMPUTER OCCUPATIONS, ALL OTHER",15-1199,ASSOCIATE ARCHITECT,Y,80704.0,TROY,NY,2016,NEW YORK,"TROY, NEW YORK",Approved,1
I-202-14248-901280,CERTIFIED-WITHDRAWN,"GROVO LEARNING, INC.",MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,13-1161,MARKETING MANAGER,Y,60029.0,NEW YORK,NY,2015,NEW YORK,"NEW YORK, NEW YORK",Approved,1
I-200-19023-541167,CERTIFIED,"COMCAST CABLE COMMUNICATIONS, LLC",DATABASE ADMINISTRATORS,15-1141,"SR. ENGINEER, DATA ENINEERING & APPLICATIONS",Y,102100.0,PHILADELPHIA,PENNSYLVANIA,2019,PENNSYLVANIA,"Philadelphia, PENNSYLVANIA",Approved,1
I-200-19072-628099,CERTIFIED,KSM TECHNOLOGIES LLC,"SOFTWARE DEVELOPERS, APPLICATIONS",15-1132,"SOFTWARE DEVELOPER, APPLICATIONS",Y,74818.0,MALVERN,PENNSYLVANIA,2019,PENNSYLVANIA,"MALVERN, PENNSYLVANIA",Approved,1
I-200-18068-725952,CERTIFIED,"RED COMMA MEDIA, INC.",MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,13-1161,MARKET RESEARCH ANALYST,Y,48734.0,MADISON,WI,2018,WISCONSIN,"MADISON, WISCONSIN",Approved,1
I-200-19058-623298,CERTIFIED,"MARKABLE, INC.","SOFTWARE DEVELOPERS, APPLICATIONS",15-1132,SOFTWARE ENGINEER,Y,75130.0,NEW YORK,NEWYORK,2019,NEW YORK,"New York, NEW YORK",Approved,1
I-200-17079-966728,CERTIFIED,MARQUETTE UNIVERSITY,BIOCHEMISTS AND BIOPHYSICISTS,19-1021,POSTDOCTORAL FELLOW,Y,41434.0,MILWAUKEE,WI,2017,WISCONSIN,"MILWAUKEE, WISCONSIN",Approved,1
I-200-18044-871906,CERTIFIED,"ROCKWELL AUTOMATION, INC.","SOFTWARE DEVELOPERS, SYSTEMS SOFTWARE",15-1133,"DEVELOPMENT ENGINEER, EMBEDDED SOFTWARE",Y,73902.0,MAYFIELD HEIGHTS,OH,2018,OHIO,"MAYFIELD HEIGHTS, OHIO",Approved,1
I-200-15039-806125,CERTIFIED,"ADVANCEPIERRE FOODS, INC.",OPERATIONS RESEARCH ANALYSTS,15-2031,SYSTEMS AND SALES OPERATIONS ANALYST,Y,45261.0,BLUE ASH,OH,2015,OHIO,"BLUE ASH, OHIO",Approved,1
I-200-16349-090968,CERTIFIED,L&T TECHNOLOGY SERVICES LIMITED,COMMERCIAL AND INDUSTRIAL DESIGNERS,27-1021,DESIGN ENGINEER,Y,37773.0,COSHOCTON,OH,2017,OHIO,"COSHOCTON, OHIO",Approved,1
